at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
5,KOÇARSLAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %25, on-grup %58, onde %4.",3/24 (12%) | 6/24 (25%) | 14/24 (58%) | 1/24 (4%),3/24 (12%),6/24 (25%),14/24 (58%),1/24 (4%),Sulu,,0.00,https://yenibeygir.com/at/100225/kocarslan,100225
6,OĞLUM DORUK,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %37, on-grup %32, onde %7.",14/57 (25%) | 21/57 (37%) | 18/57 (32%) | 4/57 (7%),14/57 (25%),21/57 (37%),18/57 (32%),4/57 (7%),Nem,,0.25,https://yenibeygir.com/at/84953/oglum-doruk,84953
7,ŞEN AKYÜZ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %41, on-grup %35, onde %3.",24/113 (21%) | 46/113 (41%) | 40/113 (35%) | 3/113 (3%),24/113 (21%),46/113 (41%),40/113 (35%),3/113 (3%),,,0.22,https://yenibeygir.com/at/86756/sen-akyuz,86756
8,BLAZE THUNDER,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %33, on-grup %54, onde %4.",2/24 (8%) | 8/24 (33%) | 13/24 (54%) | 1/24 (4%),2/24 (8%),8/24 (33%),13/24 (54%),1/24 (4%),,,2.35,https://yenibeygir.com/at/98945/blaze-thunder,98945
1,OĞUL ÇINAR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %20, on-grup %47, onde %27.",1/15 (7%) | 3/15 (20%) | 7/15 (47%) | 4/15 (27%),1/15 (7%),3/15 (20%),7/15 (47%),4/15 (27%),,,0.33,https://yenibeygir.com/at/101712/ogul-cinar,101712
2,HASHEYBETLİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %33, on-grup %44, onde %11.",1/9 (11%) | 3/9 (33%) | 4/9 (44%) | 1/9 (11%),1/9 (11%),3/9 (33%),4/9 (44%),1/9 (11%),,,0.00,https://yenibeygir.com/at/101715/hasheybetli,101715
3,OĞLUM GÜROL,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %36, on-grup %50, onde %7.",1/14 (7%) | 5/14 (36%) | 7/14 (50%) | 1/14 (7%),1/14 (7%),5/14 (36%),7/14 (50%),1/14 (7%),,,0.40,https://yenibeygir.com/at/103652/oglum-gurol,103652
4,KARA AYHAN,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %42, on-grup %26, onde %11.",4/19 (21%) | 8/19 (42%) | 5/19 (26%) | 2/19 (11%),4/19 (21%),8/19 (42%),5/19 (26%),2/19 (11%),,X,7.11,https://yenibeygir.com/at/101527/kara-ayhan,101527
5,KOCAMUTLU,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %23, on-grup %73, onde %0.",1/22 (5%) | 5/22 (23%) | 16/22 (73%) | 0/22 (0%),1/22 (5%),5/22 (23%),16/22 (73%),0/22 (0%),,,0.49,https://yenibeygir.com/at/102589/kocamutlu,102589
6,GÜLÜMSE BİRAZ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %17, on-grup %57, onde %13.",3/23 (13%) | 4/23 (17%) | 13/23 (57%) | 3/23 (13%),3/23 (13%),4/23 (17%),13/23 (57%),3/23 (13%),,,3.56,https://yenibeygir.com/at/101687/gulumse-biraz,101687
7,ALSAKİB,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %32, on-grup %50, onde %9.",2/22 (9%) | 7/22 (32%) | 11/22 (50%) | 2/22 (9%),2/22 (9%),7/22 (32%),11/22 (50%),2/22 (9%),,,0.08,https://yenibeygir.com/at/103213/alsakib,103213
8,SULTAN FERMANI,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %17, on-grup %33, onde %17.",4/12 (33%) | 2/12 (17%) | 4/12 (33%) | 2/12 (17%),4/12 (33%),2/12 (17%),4/12 (33%),2/12 (17%),Nem,X,12.37,https://yenibeygir.com/at/101617/sultan-fermani,101617
1,TORUNCALAS,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %46, on-grup %20, onde %0.",14/41 (34%) | 19/41 (46%) | 8/41 (20%) | 0/41 (0%),14/41 (34%),19/41 (46%),8/41 (20%),0/41 (0%),,,1.30,https://yenibeygir.com/at/95684/toruncalas,95684
2,BAYAN ALTIN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %30, on-grup %26, onde %0.",12/27 (44%) | 8/27 (30%) | 7/27 (26%) | 0/27 (0%),12/27 (44%),8/27 (30%),7/27 (26%),0/27 (0%),,,2.63,https://yenibeygir.com/at/98899/bayan-altin,98899
3,SULTAN NENE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %32, on-grup %50, onde %8.",10/105 (10%) | 34/105 (32%) | 53/105 (50%) | 8/105 (8%),10/105 (10%),34/105 (32%),53/105 (50%),8/105 (8%),Nem,,2.54,https://yenibeygir.com/at/95428/sultan-nene,95428
4,GÜNÇE KIZ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %14, arka-grup %35, on-grup %51, onde %0.",6/43 (14%) | 15/43 (35%) | 22/43 (51%) | 0/43 (0%),6/43 (14%),15/43 (35%),22/43 (51%),0/43 (0%),,,1.39,https://yenibeygir.com/at/97408/gunce-kiz,97408
5,BEDİZ DE FAUST,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %22, on-grup %64, onde %10.",2/67 (3%) | 15/67 (22%) | 43/67 (64%) | 7/67 (10%),2/67 (3%),15/67 (22%),43/67 (64%),7/67 (10%),Nem,,4.80,https://yenibeygir.com/at/89715/bediz-de-faust,89715
6,GÜNDÜZDÜŞÜ,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %2, on-grup %25, onde %71.",1/52 (2%) | 1/52 (2%) | 13/52 (25%) | 37/52 (71%),1/52 (2%),1/52 (2%),13/52 (25%),37/52 (71%),,,0.87,https://yenibeygir.com/at/87729/gunduzdusu,87729
7,KURUÇAY,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %38, on-grup %38, onde %2.",12/53 (23%) | 20/53 (38%) | 20/53 (38%) | 1/53 (2%),12/53 (23%),20/53 (38%),20/53 (38%),1/53 (2%),,,3.69,https://yenibeygir.com/at/98474/kurucay,98474
8,MÜZEYYEN ABLA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %15, on-grup %48, onde %26.",3/27 (11%) | 4/27 (15%) | 13/27 (48%) | 7/27 (26%),3/27 (11%),4/27 (15%),13/27 (48%),7/27 (26%),Nem,,4.55,https://yenibeygir.com/at/98127/muzeyyen-abla,98127
1,DORUKLAR BEYİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %40, on-grup %10, onde %0.",5/10 (50%) | 4/10 (40%) | 1/10 (10%) | 0/10 (0%),5/10 (50%),4/10 (40%),1/10 (10%),0/10 (0%),,,1.19,https://yenibeygir.com/at/104847/doruklar-beyi,104847
