at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
6,WEST KENAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %31, on-grup %15, onde %15.",5/13 (38%) | 4/13 (31%) | 2/13 (15%) | 2/13 (15%),5/13 (38%),4/13 (31%),2/13 (15%),2/13 (15%),https://yenibeygir.com/at/102041/west-kenan,102041
1,LAYETEZELZEL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %22, on-grup %61, onde %13.",1/23 (4%) | 5/23 (22%) | 14/23 (61%) | 3/23 (13%),1/23 (4%),5/23 (22%),14/23 (61%),3/23 (13%),https://yenibeygir.com/at/100575/layetezelzel,100575
2,NEZNAKOMKA,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %38, on-grup %24, onde %5.",7/21 (33%) | 8/21 (38%) | 5/21 (24%) | 1/21 (5%),7/21 (33%),8/21 (38%),5/21 (24%),1/21 (5%),https://yenibeygir.com/at/100374/neznakomka,100374
3,CROWN OF HONOR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %15, arka-grup %10, on-grup %70, onde %5.",3/20 (15%) | 2/20 (10%) | 14/20 (70%) | 1/20 (5%),3/20 (15%),2/20 (10%),14/20 (70%),1/20 (5%),https://yenibeygir.com/at/98891/crown-of-honor,98891
4,ACROMANTULA,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %29, on-grup %29, onde %43.",0/7 (0%) | 2/7 (29%) | 2/7 (29%) | 3/7 (43%),0/7 (0%),2/7 (29%),2/7 (29%),3/7 (43%),https://yenibeygir.com/at/100394/acromantula,100394
5,GO BEAUTY,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %42, on-grup %38, onde %8.",3/24 (12%) | 10/24 (42%) | 9/24 (38%) | 2/24 (8%),3/24 (12%),10/24 (42%),9/24 (38%),2/24 (8%),https://yenibeygir.com/at/97200/go-beauty,97200
6,GOLDEN APPLE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %73, on-grup %14, onde %0.",3/22 (14%) | 16/22 (73%) | 3/22 (14%) | 0/22 (0%),3/22 (14%),16/22 (73%),3/22 (14%),0/22 (0%),https://yenibeygir.com/at/98572/golden-apple,98572
7,TRUE ANGEL,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %56, on-grup %11, onde %0.",12/36 (33%) | 20/36 (56%) | 4/36 (11%) | 0/36 (0%),12/36 (33%),20/36 (56%),4/36 (11%),0/36 (0%),https://yenibeygir.com/at/95716/true-angel,95716
8,REYNA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %31, on-grup %58, onde %0.",4/36 (11%) | 11/36 (31%) | 21/36 (58%) | 0/36 (0%),4/36 (11%),11/36 (31%),21/36 (58%),0/36 (0%),https://yenibeygir.com/at/98880/reyna,98880
9,TILO GIRL,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %22, on-grup %38, onde %9.",10/32 (31%) | 7/32 (22%) | 12/32 (38%) | 3/32 (9%),10/32 (31%),7/32 (22%),12/32 (38%),3/32 (9%),https://yenibeygir.com/at/98448/tilo-girl,98448
10,PRENSES DALAKA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %19, on-grup %64, onde %5.",10/81 (12%) | 15/81 (19%) | 52/81 (64%) | 4/81 (5%),10/81 (12%),15/81 (19%),52/81 (64%),4/81 (5%),https://yenibeygir.com/at/86314/prenses-dalaka,86314
11,GENÇAY NALAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %3, on-grup %72, onde %21.",1/29 (3%) | 1/29 (3%) | 21/29 (72%) | 6/29 (21%),1/29 (3%),1/29 (3%),21/29 (72%),6/29 (21%),https://yenibeygir.com/at/96358/gencay-nalan,96358
