at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
14,DESERT FEVER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %25, on-grup %61, onde %8.",2/36 (6%) | 9/36 (25%) | 22/36 (61%) | 3/36 (8%),2/36 (6%),9/36 (25%),22/36 (61%),3/36 (8%),https://yenibeygir.com/at/96984/desert-fever,96984
15,YİĞİT KHAN,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %20, on-grup %40, onde %40.",0/25 (0%) | 5/25 (20%) | 10/25 (40%) | 10/25 (40%),0/25 (0%),5/25 (20%),10/25 (40%),10/25 (40%),https://yenibeygir.com/at/96744/yigit-khan,96744
16,ŞİMENDİFER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %8, on-grup %61, onde %29.",1/38 (3%) | 3/38 (8%) | 23/38 (61%) | 11/38 (29%),1/38 (3%),3/38 (8%),23/38 (61%),11/38 (29%),https://yenibeygir.com/at/94537/simendifer,94537
1,AKDAĞ FIRTINASI,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %3, on-grup %25, onde %73.",0/73 (0%) | 2/73 (3%) | 18/73 (25%) | 53/73 (73%),0/73 (0%),2/73 (3%),18/73 (25%),53/73 (73%),https://yenibeygir.com/at/88997/akdag-firtinasi,88997
2,DUMAN,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %39, arka-grup %45, on-grup %11, onde %5.",52/135 (39%) | 61/135 (45%) | 15/135 (11%) | 7/135 (5%),52/135 (39%),61/135 (45%),15/135 (11%),7/135 (5%),https://yenibeygir.com/at/73630/duman,73630
3,İLKAYOĞLU,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %34, on-grup %44, onde %1.",27/126 (21%) | 43/126 (34%) | 55/126 (44%) | 1/126 (1%),27/126 (21%),43/126 (34%),55/126 (44%),1/126 (1%),https://yenibeygir.com/at/78722/ilkayoglu,78722
4,PALA SALİH,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %40, on-grup %16, onde %0.",78/177 (44%) | 71/177 (40%) | 28/177 (16%) | 0/177 (0%),78/177 (44%),71/177 (40%),28/177 (16%),0/177 (0%),https://yenibeygir.com/at/68733/pala-salih,68733
5,YEDİKARDEŞLER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %26, on-grup %58, onde %5.",5/43 (12%) | 11/43 (26%) | 25/43 (58%) | 2/43 (5%),5/43 (12%),11/43 (26%),25/43 (58%),2/43 (5%),https://yenibeygir.com/at/97021/yedikardesler,97021
6,DUMRUL,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %2, on-grup %24, onde %71.",3/115 (3%) | 2/115 (2%) | 28/115 (24%) | 82/115 (71%),3/115 (3%),2/115 (2%),28/115 (24%),82/115 (71%),https://yenibeygir.com/at/79147/dumrul,79147
7,SEHHAR,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %49, onde %51.",0/49 (0%) | 0/49 (0%) | 24/49 (49%) | 25/49 (51%),0/49 (0%),0/49 (0%),24/49 (49%),25/49 (51%),https://yenibeygir.com/at/94617/sehhar,94617
