at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
9,KESKİN KUŞ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %82, onde %0.",1/17 (6%) | 2/17 (12%) | 14/17 (82%) | 0/17 (0%),1/17 (6%),2/17 (12%),14/17 (82%),0/17 (0%),https://www.yenibeygir.com/at/103277/keskin-kus,103277
10,ŞUKELA,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %45, on-grup %36, onde %18.",0/11 (0%) | 5/11 (45%) | 4/11 (36%) | 2/11 (18%),0/11 (0%),5/11 (45%),4/11 (36%),2/11 (18%),https://www.yenibeygir.com/at/102347/sukela,102347
11,BABA SELAH,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %29, onde %71.",0/7 (0%) | 0/7 (0%) | 2/7 (29%) | 5/7 (71%),0/7 (0%),0/7 (0%),2/7 (29%),5/7 (71%),https://www.yenibeygir.com/at/101596/baba-selah,101596
1,WHISPER OF VICTORY,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %36, on-grup %21, onde %21.",3/14 (21%) | 5/14 (36%) | 3/14 (21%) | 3/14 (21%),3/14 (21%),5/14 (36%),3/14 (21%),3/14 (21%),https://www.yenibeygir.com/at/102225/whisper-of-victory,102225
2,ANGEL OF DEFNE,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",6/18 (33%) | 6/18 (33%) | 6/18 (33%) | 0/18 (0%),6/18 (33%),6/18 (33%),6/18 (33%),0/18 (0%),https://www.yenibeygir.com/at/102440/angel-of-defne,102440
3,GOOD WIEW GLORY,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/12 (0%) | 0/12 (0%) | 6/12 (50%) | 6/12 (50%),0/12 (0%),0/12 (0%),6/12 (50%),6/12 (50%),https://www.yenibeygir.com/at/102135/good-wiew-glory,102135
4,FORTHCOMING QUEEN,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",2/7 (29%) | 3/7 (43%) | 2/7 (29%) | 0/7 (0%),2/7 (29%),3/7 (43%),2/7 (29%),0/7 (0%),https://www.yenibeygir.com/at/104365/forthcoming-queen,104365
5,MISS ELLEN,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %27, on-grup %13, onde %0.",9/15 (60%) | 4/15 (27%) | 2/15 (13%) | 0/15 (0%),9/15 (60%),4/15 (27%),2/15 (13%),0/15 (0%),https://www.yenibeygir.com/at/104533/miss-ellen,104533
6,MY LADY BUG,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %38, on-grup %38, onde %0.",3/13 (23%) | 5/13 (38%) | 5/13 (38%) | 0/13 (0%),3/13 (23%),5/13 (38%),5/13 (38%),0/13 (0%),https://www.yenibeygir.com/at/103266/my-lady-bug,103266
1,AZP STAR,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %31, on-grup %50, onde %12.",1/16 (6%) | 5/16 (31%) | 8/16 (50%) | 2/16 (12%),1/16 (6%),5/16 (31%),8/16 (50%),2/16 (12%),https://www.yenibeygir.com/at/102827/azp-star,102827
2,CASH FOR YOU,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %30, on-grup %60, onde %0.",1/10 (10%) | 3/10 (30%) | 6/10 (60%) | 0/10 (0%),1/10 (10%),3/10 (30%),6/10 (60%),0/10 (0%),https://www.yenibeygir.com/at/103814/cash-for-you,103814
3,MAXIMUS MAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %83, onde %17.",0/6 (0%) | 0/6 (0%) | 5/6 (83%) | 1/6 (17%),0/6 (0%),0/6 (0%),5/6 (83%),1/6 (17%),https://www.yenibeygir.com/at/104347/maximus-man,104347
