date,year_month,weekday_no,weekday,city,city_id,label,combination,amount,amount_text,under_1750,race_count,url
2025-10-17,2025-10,4,Cuma,Istanbul,3,1. 6'LI GANYAN,8/4/1/4/4/7,4126.1,"4.126,10 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=17%2F10%2F2025&SehirAdi=Istanbul
2025-10-18,2025-10,5,Cumartesi,Ankara,5,1. 6'LI GANYAN,"2,6/5/1/3/1/13",21997.55,"21.997,55 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=18%2F10%2F2025&SehirAdi=Ankara
2025-10-18,2025-10,5,Cumartesi,Izmir,2,1. 6'LI GANYAN,"1/6,9/5,6,7/2/2/8",526.45,"526,45 ₺",1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=18%2F10%2F2025&SehirAdi=Izmir
2025-10-19,2025-10,6,Pazar,Adana,1,1. 6'LI GANYAN,"1/1/2/4/8/2,6",1391.3,"1.391,30 ₺",1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=19%2F10%2F2025&SehirAdi=Adana
2025-10-19,2025-10,6,Pazar,Istanbul,3,1. 6'LI GANYAN,3/5/5/4/9/4,161761.6,"161.761,60 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=19%2F10%2F2025&SehirAdi=Istanbul
2025-10-20,2025-10,0,Pazartesi,Bursa,4,1. 6'LI GANYAN,"1/12/1,3/1/5/8",2056.4,"2.056,40 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=20%2F10%2F2025&SehirAdi=Bursa
2025-10-20,2025-10,0,Pazartesi,Urfa,6,1. 6'LI GANYAN,2/3/7/1/3/6,21792.84,"21.792,84 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=20%2F10%2F2025&SehirAdi=Urfa
2025-10-21,2025-10,1,Sali,Adana,1,1. 6'LI GANYAN,"9,11/4/7/2/3/5",1816.55,"1.816,55 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=21%2F10%2F2025&SehirAdi=Adana
2025-10-21,2025-10,1,Sali,Kocaeli,9,1. 6'LI GANYAN,2/3/1/13/3/8,204630.95,"204.630,95 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=9&QueryParameter_Tarih=21%2F10%2F2025&SehirAdi=Kocaeli
2025-10-22,2025-10,2,Carsamba,Istanbul,3,1. 6'LI GANYAN,10/2/1/4/2/16,5186.05,"5.186,05 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=22%2F10%2F2025&SehirAdi=Istanbul
